item,category,cost,fling_power,fling_effect,flavor_text,name
i_496cb130,22.0,0.0,,,A special device that wrings out the potential ofPokémon. Its an imperfect prototype.,Colress Machine
i_d8899e6b,21.0,0.0,,,A splicer that fuses Kyurem and a certain Pokémon.They are said to have been one in the beginning.,DNA Splicers
i_77640429,49.0,,,,An item that causes VAR 0000 to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,Cas403
i_b31fe752,25.0,50.0,,,Stationery designed to allow you to recommendsomething to the reader. Have a Pokémon hold itfor delivery.,Like Mail
i_6264d18d,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★Vir4910
i_75ef42d9,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★Vir5338
i_40ce71ed,24.0,300.0,30.0,,A round glass marble. You can see colored glassinside the transparent marble.,Marble
i_d1f5c9d7,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★Vir5056
i_a31ca938,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★UMa3594
i_8cb972b9,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★UMa4518
i_a2254c14,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★UMa4375
i_5ccc6df6,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★Vir4689
i_c4e851a6,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★Vir4540
i_03a1be3e,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★Vir4932
i_2584a732,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★Vir4825
i_724a11bc,23.0,,,,A mythical chain that is said to link theLegendary Pokémon that created the Sinnoh region.,Red Chain
i_be909188,25.0,50.0,,,Stationery designed to allow you to extend aninvitation to the recipient. Have a Pokémon hold itfor delivery.,RSVP Mail
i_78614607,3.0,80.0,10.0,3.0,A Berry to be consumed by Pokémon. If a Pokémonholds one it can recover from poisoning on its ownin battle.,Pecha Berry
i_99b2a2eb,3.0,80.0,10.0,3.0,A Berry to be consumed by Pokémon. If a Pokémonholds one it can recover from poisoning on its ownin battle.,Pecha Berry
i_97dd0b65,49.0,20.0,,,An item that causes VAR 0000 to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,Dra6705
i_c2511adf,37.0,1000.0,,,The user gets all party Pokémon to attack the target.The more party Pokémon the greater the numberof attacks.,TM37
i_3ab69c00,,1000.0,,,The user gets all party Pokémon to attack the target.The more party Pokémon the greater the numberof attacks.,TM37
i_dd469659,21.0,0.0,,,This is a tool for watering Berries you planted tomake them grow more quickly.,Wailmer Pail
i_efbb39d6,21.0,0.0,,,A case for storing Seals that can be applied to theexteriors of Poké Balls.,Seal Case
i_ba645aac,37.0,16000.0,120.0,,The user cloaks itself in fire and charges the target.This also damages the user quite a lot. This attackmay leave the target with a burn.,TR55
i_e97dd803,21.0,0.0,,,A notebook that keeps a day-to-day record of youradventure so far.,Journal
i_783d779f,25.0,50.0,,,Stationery designed to allow you to extend aninvitation to the recipient. Have a Pokémon hold itfor delivery.,RSVP Mail
i_2d6fea79,,1000.0,50.0,,A memory disc that contains Flying-type data.It changes the type of the holder if held bya certain species of Pokémon.,Flying Memory
i_6be074ef,45.0,1000.0,50.0,,A memory disc that contains Flying-type data.It changes the type of the holder if held bya certain species of Pokémon.,Flying Memory
i_742c6b2e,37.0,10000.0,80.0,,The user gathers all its light energy and releases itall at once. This may also lower the targetsSp. Def stat.,TR70
i_1a656c06,37.0,10000.0,80.0,,The user gathers all its light energy and releases itall at once. This may also lower the targetsSp. Def stat.,TR70
i_33e12a5e,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★Pup3185
i_b1f84b31,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★Pup3165
